 	count
00000100010101	143
00000100010110	93
00000100010111	119
00000100011000	113
00000100011001	197
00000100011010	137
00000100011011	199
00000100011100	122
00000100011101	149
00000100011110	124
00000100011111	158
00000100100000	218
00000100100001	372
00000100100010	183
00000100100011	242
00000100100100	208
00000100100101	299
00000100100110	135
00000100100111	239
00000100101000	257
00000100101001	247
00000100101010	182
00000100101011	212
00000100101100	262
00000100101101	239
00000100101110	186
00000100101111	201
00000100110000	99
00000100110001	240
00000100110010	93
00000100110011	168
00000100110100	106
00000100110101	225
00000100110110	108
00000100110111	176
00000100111000	197
00000100111001	321
00000100111010	113
00000100111011	170
00000100111100	120
00000100111101	242
00000100111110	132
00000100111111	212
00000101000000	93
00000101000001	190
00000101000010	88
00000101000011	169
00000101000100	83
00000101000101	223
00000101000110	59
00000101000111	131
00000101001000	98
00000101001001	148
00000101001010	88
00000101001011	172
00000101001100	93
00000101001101	163
00000101001110	114
00000101001111	185
00000101010000	41
00000101010001	92
00000101010010	52
00000101010011	118
00000101010100	61
00000101010101	156
00000101010110	36
00000101010111	121
00000101011000	60
00000101011001	198
00000101011010	64
00000101011011	157
00000101011100	79
00000101011101	105
00000101011110	63
00000101011111	160
00000101100000	96
00000101100001	218
00000101100010	90
00000101100011	199
00000101100100	132
00000101100101	233
00000101100110	112
00000101100111	145
00000101101000	142
00000101101001	239
00000101101010	105
00000101101011	169
00000101101100	209
00000101101101	222
00000101101110	133
00000101101111	231
00000101110000	50
00000101110001	191
00000101110010	43
00000101110011	153
00000101110100	80
00000101110101	143
00000101110110	47
00000101110111	92
00000101111000	98
00000101111001	212
00000101111010	97
00000101111011	171
00000101111100	85
00000101111101	142
00000101111110	91
00000101111111	141
00000110000000	205
00000110000001	259
00000110000010	146
00000110000011	230
00000110000100	174
00000110000101	270
00000110000110	124
00000110000111	227
00000110001000	266
00000110001001	272
00000110001010	184
00000110001011	170
00000110001100	200
00000110001101	281
00000110001110	137
00000110001111	212
00000110010000	104
00000110010001	204
00000110010010	46
00000110010011	199
00000110010100	104
00000110010101	173
00000110010110	61
00000110010111	172
00000110011000	137
00000110011001	199
00000110011010	100
00000110011011	162
00000110011100	118
00000110011101	199
00000110011110	133
00000110011111	150
00000110100000	180
00000110100001	333
00000110100010	134
00000110100011	235
00000110100100	215
00000110100101	284
00000110100110	182
00000110100111	233
00000110101000	270
00000110101001	377
00000110101010	181
00000110101011	239
00000110101100	222
00000110101101	256
00000110101110	180
00000110101111	216
00000110110000	122
00000110110001	228
00000110110010	90
00000110110011	231
00000110110100	101
00000110110101	300
00000110110110	74
00000110110111	189
00000110111000	183
00000110111001	395
00000110111010	114
00000110111011	157
00000110111100	173
00000110111101	218
00000110111110	165
00000110111111	185
00000111000000	127
00000111000001	215
00000111000010	112
00000111000011	136
00000111000100	135
00000111000101	213
00000111000110	97
00000111000111	329
00000111001000	128
00000111001001	204
00000111001010	177
00000111001011	226
00000111001100	208
00000111001101	251
00000111001110	141
00000111001111	185
00000111010000	66
00000111010001	166
00000111010010	97
00000111010011	133
00000111010100	72
00000111010101	182
00000111010110	72
00000111010111	188
00000111011000	151
00000111011001	152
00000111011010	105
00000111011011	190
00000111011100	96
00000111011101	196
00000111011110	114
00000111011111	148
00000111100000	190
00000111100001	249
00000111100010	125
00000111100011	181
00000111100100	207
00000111100101	282
00000111100110	165
00000111100111	190
00000111101000	230
00000111101001	259
00000111101010	159
00000111101011	229
00000111101100	156
00000111101101	317
00000111101110	169
00000111101111	145
00000111110000	124
00000111110001	217
00000111110010	50
00000111110011	181
00000111110100	111
00000111110101	199
00000111110110	91
00000111110111	138
00000111111000	148
00000111111001	211
00000111111010	80
00000111111011	222
00000111111100	102
00000111111101	232
00000111111110	124
00000111111111	168
00001000000000	239
00001000000001	376
00001000000010	242
00001000000011	350
00001000000100	268
00001000000101	333
00001000000110	197
00001000000111	326
00001000001000	316
00001000001001	472
00001000001010	253
00001000001011	307
00001000001100	324
00001000001101	362
00001000001110	240
00001000001111	268
00001000010000	139
00001000010001	283
00001000010010	110
00001000010011	241
00001000010100	123
00001000010101	255
00001000010110	157
00001000010111	263
00001000011000	200
00001000011001	348
00001000011010	192
00001000011011	256
00001000011100	208
00001000011101	298
00001000011110	135
00001000011111	204
00001000100000	312
00001000100001	502
00001000100010	282
00001000100011	336
00001000100100	323
00001000100101	376
00001000100110	216
00001000100111	405
00001000101000	363
00001000101001	426
00001000101010	328
00001000101011	432
00001000101100	371
00001000101101	414
00001000101110	267
00001000101111	338
00001000110000	223
00001000110001	411
00001000110010	161
00001000110011	264
00001000110100	167
00001000110101	357
00001000110110	132
00001000110111	236
00001000111000	240
00001000111001	413
00001000111010	180
00001000111011	372
00001000111100	230
00001000111101	346
00001000111110	220
00001000111111	322
00001001000000	131
00001001000001	285
00001001000010	105
00001001000011	211
00001001000100	167
00001001000101	282
00001001000110	138
00001001000111	291
00001001001000	180
00001001001001	276
00001001001010	159
00001001001011	236
00001001001100	171
00001001001101	319
00001001001110	139
00001001001111	233
00001001010000	70
00001001010001	212
00001001010010	76
00001001010011	203
00001001010100	89
00001001010101	288
00001001010110	86
00001001010111	223
00001001011000	98
00001001011001	202
00001001011010	72
00001001011011	167
00001001011100	124
00001001011101	288
00001001011110	120
00001001011111	196
00001001100000	175
00001001100001	328
00001001100010	139
00001001100011	315
00001001100100	204
00001001100101	429
00001001100110	123
00001001100111	300
00001001101000	261
00001001101001	320
00001001101010	213
00001001101011	279
00001001101100	241
00001001101101	378
00001001101110	164
00001001101111	262
00001001110000	137
00001001110001	279
00001001110010	91
00001001110011	194
00001001110100	120
00001001110101	198
00001001110110	111
00001001110111	198
00001001111000	185
00001001111001	356
00001001111010	152
00001001111011	237
00001001111100	156
00001001111101	393
00001001111110	138
00001001111111	250
00001010000000	229
00001010000001	293
00001010000010	182
00001010000011	248
00001010000100	240
00001010000101	413
00001010000110	247
00001010000111	387
00001010001000	198
00001010001001	385
00001010001010	279
00001010001011	276
00001010001100	279
00001010001101	430
00001010001110	198
00001010001111	226
00001010010000	125
00001010010001	254
00001010010010	137
00001010010011	247
00001010010100	97
00001010010101	273
00001010010110	100
00001010010111	232
00001010011000	183
00001010011001	323
00001010011010	177
00001010011011	334
00001010011100	180
00001010011101	288
00001010011110	150
00001010011111	255
00001010100000	275
00001010100001	527
00001010100010	227
00001010100011	341
00001010100100	322
00001010100101	436
00001010100110	243
00001010100111	342
00001010101000	322
00001010101001	410
00001010101010	246
00001010101011	320
00001010101100	377
00001010101101	526
00001010101110	202
00001010101111	354
00001010110000	175
00001010110001	361
00001010110010	89
00001010110011	312
00001010110100	196
00001010110101	401
00001010110110	114
00001010110111	222
00001010111000	292
00001010111001	422
00001010111010	180
00001010111011	365
00001010111100	232
00001010111101	352
00001010111110	141
00001010111111	262
00001011000000	140
00001011000001	263
00001011000010	147
00001011000011	225
00001011000100	150
00001011000101	251
00001011000110	180
00001011000111	272
00001011001000	204
00001011001001	261
00001011001010	195
00001011001011	238
00001011001100	163
00001011001101	275
00001011001110	204
00001011001111	238
00001011010000	95
00001011010001	218
00001011010010	83
00001011010011	222
00001011010100	99
00001011010101	221
00001011010110	123
00001011010111	267
00001011011000	138
00001011011001	259
00001011011010	114
00001011011011	205
00001011011100	134
00001011011101	284
00001011011110	138
00001011011111	258
00001011100000	199
00001011100001	362
00001011100010	129
00001011100011	244
00001011100100	220
00001011100101	399
00001011100110	168
00001011100111	348
00001011101000	292
00001011101001	417
00001011101010	256
00001011101011	314
00001011101100	266
00001011101101	289
00001011101110	216
00001011101111	275
00001011110000	108
00001011110001	282
00001011110010	127
00001011110011	168
00001011110100	122
00001011110101	172
00001011110110	110
00001011110111	250
00001011111000	181
00001011111001	257
00001011111010	111
00001011111011	250
00001011111100	161
00001011111101	246
00001011111110	147
00001011111111	247
00001100000000	265
00001100000001	350
00001100000010	181
00001100000011	296
00001100000100	212
00001100000101	278
00001100000110	186
00001100000111	242
00001100001000	259
00001100001001	369
00001100001010	257
00001100001011	241
00001100001100	245
00001100001101	308
00001100001110	208
00001100001111	239
00001100010000	117
00001100010001	247
00001100010010	74
00001100010011	179
00001100010100	155
00001100010101	237
00001100010110	89
00001100010111	230
00001100011000	209
00001100011001	264
00001100011010	97
00001100011011	256
00001100011100	166
00001100011101	261
00001100011110	145
00001100011111	207
00001100100000	266
00001100100001	355
00001100100010	198
00001100100011	288
00001100100100	341
00001100100101	417
00001100100110	229
00001100100111	248
00001100101000	351
00001100101001	416
00001100101010	264
00001100101011	311
00001100101100	328
00001100101101	300
00001100101110	256
00001100101111	234
00001100110000	161
00001100110001	253
00001100110010	132
00001100110011	229
00001100110100	131
00001100110101	253
00001100110110	123
00001100110111	268
00001100111000	172
00001100111001	304
00001100111010	158
00001100111011	225
00001100111100	243
00001100111101	455
00001100111110	152
00001100111111	253
00001101000000	110
00001101000001	173
00001101000010	126
00001101000011	231
00001101000100	134
00001101000101	262
00001101000110	122
00001101000111	227
00001101001000	149
00001101001001	210
00001101001010	133
00001101001011	226
00001101001100	106
00001101001101	197
00001101001110	132
00001101001111	216
00001101010000	69
00001101010001	163
00001101010010	63
00001101010011	169
00001101010100	60
00001101010101	190
00001101010110	65
00001101010111	221
00001101011000	102
00001101011001	152
00001101011010	77
00001101011011	191
00001101011100	114
00001101011101	188
00001101011110	74
00001101011111	158
00001101100000	138
00001101100001	277
00001101100010	107
00001101100011	210
00001101100100	160
00001101100101	343
00001101100110	149
00001101100111	273
00001101101000	185
00001101101001	335
00001101101010	154
00001101101011	196
00001101101100	188
00001101101101	242
00001101101110	180
00001101101111	243
00001101110000	78
00001101110001	163
00001101110010	60
00001101110011	223
00001101110100	84
00001101110101	188
00001101110110	85
00001101110111	246
00001101111000	106
00001101111001	245
00001101111010	112
00001101111011	174
00001101111100	109
00001101111101	225
00001101111110	99
00001101111111	180
00001110000000	230
00001110000001	293
00001110000010	184
00001110000011	322
00001110000100	302
00001110000101	495
00001110000110	219
00001110000111	353
00001110001000	286
00001110001001	405
00001110001010	245
00001110001011	255
00001110001100	302
00001110001101	448
00001110001110	222
00001110001111	397
00001110010000	97
00001110010001	322
00001110010010	105
00001110010011	263
00001110010100	122
00001110010101	338
00001110010110	111
00001110010111	281
00001110011000	180
00001110011001	352
00001110011010	189
00001110011011	294
00001110011100	217
00001110011101	324
00001110011110	154
00001110011111	234
00001110100000	307
00001110100001	582
00001110100010	218
00001110100011	375
00001110100100	316
00001110100101	487
00001110100110	245
00001110100111	310
00001110101000	396
00001110101001	579
00001110101010	250
00001110101011	356
00001110101100	455
00001110101101	521
00001110101110	273
00001110101111	296
00001110110000	160
00001110110001	402
00001110110010	143
00001110110011	244
00001110110100	177
00001110110101	414
00001110110110	120
00001110110111	280
00001110111000	254
00001110111001	464
00001110111010	181
00001110111011	400
00001110111100	224
00001110111101	388
00001110111110	243
00001110111111	331
00001111000000	172
00001111000001	253
00001111000010	136
00001111000011	262
00001111000100	157
00001111000101	318
00001111000110	153
00001111000111	285
00001111001000	237
00001111001001	267
00001111001010	261
00001111001011	351
00001111001100	165
00001111001101	401
00001111001110	190
00001111001111	267
00001111010000	90
00001111010001	207
00001111010010	88
00001111010011	228
00001111010100	106
00001111010101	303
00001111010110	98
00001111010111	262
00001111011000	154
00001111011001	228
00001111011010	140
00001111011011	223
00001111011100	153
00001111011101	270
00001111011110	173
00001111011111	269
00001111100000	229
00001111100001	372
00001111100010	203
00001111100011	312
00001111100100	215
00001111100101	410
00001111100110	181
00001111100111	304
00001111101000	262
00001111101001	353
00001111101010	208
00001111101011	290
00001111101100	281
00001111101101	420
00001111101110	218
00001111101111	292
00001111110000	101
00001111110001	268
00001111110010	105
00001111110011	230
00001111110100	141
00001111110101	378
00001111110110	114
00001111110111	234
00001111111000	190
00001111111001	341
00001111111010	149
00001111111011	284
00001111111100	141
00001111111101	332
00001111111110	142
00001111111111	206
00010000000000	283
00010000000001	355
00010000000010	322
00010000000011	385
00010000000100	313
00010000000101	406
00010000000110	240
00010000000111	274
00010000001000	387
00010000001001	410
00010000001010	334
00010000001011	479
00010000001100	355
00010000001101	429
00010000001110	369
00010000001111	310
00010000010000	177
00010000010001	343
00010000010010	152
00010000010011	315
00010000010100	201
00010000010101	321
00010000010110	151
00010000010111	269
00010000011000	218
00010000011001	355
00010000011010	278
00010000011011	308
00010000011100	236
00010000011101	352
00010000011110	232
00010000011111	317
00010000100000	345
00010000100001	538
00010000100010	276
00010000100011	400
00010000100100	375
00010000100101	549
00010000100110	257
00010000100111	408
00010000101000	500
00010000101001	710
00010000101010	416
00010000101011	504
00010000101100	516
00010000101101	673
00010000101110	364
00010000101111	434
00010000110000	189
00010000110001	392
00010000110010	164
00010000110011	306
00010000110100	198
00010000110101	516
00010000110110	153
00010000110111	262
00010000111000	383
00010000111001	438
00010000111010	190
00010000111011	432
00010000111100	325
00010000111101	454
00010000111110	223
00010000111111	398
00010001000000	199
00010001000001	291
00010001000010	190
00010001000011	219
00010001000100	258
00010001000101	388
00010001000110	203
00010001000111	359
00010001001000	207
00010001001001	364
00010001001010	192
00010001001011	308
00010001001100	232
00010001001101	270
00010001001110	199
00010001001111	297
00010001010000	146
00010001010001	280
00010001010010	67
00010001010011	304
00010001010100	104
00010001010101	271
00010001010110	101
00010001010111	295
00010001011000	155
00010001011001	203
00010001011010	161
00010001011011	306
00010001011100	183
00010001011101	265
00010001011110	151
00010001011111	334
00010001100000	251
00010001100001	437
00010001100010	186
00010001100011	320
00010001100100	294
00010001100101	480
00010001100110	228
00010001100111	306
00010001101000	205
00010001101001	433
00010001101010	274
00010001101011	324
00010001101100	271
00010001101101	338
00010001101110	194
00010001101111	362
00010001110000	121
00010001110001	300
00010001110010	118
00010001110011	324
00010001110100	151
00010001110101	333
00010001110110	122
00010001110111	212
00010001111000	162
00010001111001	434
00010001111010	161
00010001111011	304
00010001111100	210
00010001111101	389
00010001111110	192
00010001111111	268
00010010000000	276
00010010000001	359
00010010000010	254
00010010000011	374
00010010000100	329
00010010000101	559
00010010000110	261
00010010000111	423
00010010001000	333
00010010001001	512
00010010001010	279
00010010001011	469
00010010001100	323
00010010001101	452
00010010001110	256
00010010001111	347
00010010010000	143
00010010010001	267
00010010010010	139
00010010010011	330
00010010010100	161
00010010010101	404
00010010010110	140
00010010010111	207
00010010011000	236
00010010011001	341
00010010011010	198
00010010011011	279
00010010011100	238
00010010011101	307
00010010011110	190
00010010011111	307
00010010100000	342
00010010100001	568
00010010100010	291
00010010100011	394
00010010100100	354
00010010100101	575
00010010100110	241
00010010100111	391
00010010101000	434
00010010101001	569
00010010101010	300
00010010101011	517
00010010101100	424
00010010101101	515
00010010101110	285
00010010101111	313
00010010110000	181
00010010110001	376
00010010110010	141
00010010110011	260
00010010110100	195
00010010110101	330
00010010110110	160
00010010110111	245
00010010111000	334
00010010111001	538
00010010111010	191
00010010111011	335
00010010111100	310
00010010111101	483
00010010111110	217
00010010111111	377
00010011000000	169
00010011000001	283
00010011000010	160
00010011000011	255
00010011000100	184
00010011000101	300
00010011000110	204
00010011000111	277
00010011001000	242
00010011001001	357
00010011001010	207
00010011001011	331
00010011001100	195
00010011001101	307
00010011001110	208
00010011001111	277
00010011010000	133
00010011010001	210
00010011010010	77
00010011010011	206
00010011010100	127
00010011010101	255
00010011010110	123
00010011010111	251
00010011011000	166
00010011011001	342
00010011011010	142
00010011011011	239
00010011011100	121
00010011011101	309
00010011011110	137
00010011011111	302
00010011100000	267
00010011100001	478
00010011100010	229
00010011100011	348
00010011100100	297
00010011100101	316
00010011100110	262
00010011100111	238
00010011101000	315
00010011101001	446
00010011101010	247
00010011101011	342
00010011101100	264
00010011101101	333
00010011101110	183
00010011101111	269
00010011110000	156
00010011110001	365
00010011110010	110
00010011110011	206
00010011110100	163
00010011110101	399
00010011110110	113
00010011110111	269
00010011111000	161
00010011111001	414
00010011111010	180
00010011111011	268
00010011111100	206
00010011111101	323
00010011111110	170
00010011111111	273
00010100000000	298
00010100000001	296
00010100000010	252
00010100000011	376
00010100000100	245
00010100000101	482
00010100000110	269
00010100000111	259
00010100001000	376
00010100001001	450
00010100001010	319
00010100001011	299
00010100001100	353
00010100001101	347
00010100001110	212
00010100001111	296
00010100010000	138
00010100010001	365
00010100010010	147
00010100010011	168
00010100010100	167
00010100010101	331
00010100010110	126
00010100010111	274
00010100011000	253
00010100011001	303
00010100011010	204
00010100011011	321
00010100011100	198
00010100011101	329
00010100011110	197
00010100011111	325
00010100100000	324
00010100100001	516
00010100100010	226
00010100100011	345
00010100100100	374
00010100100101	486
00010100100110	268
00010100100111	415
00010100101000	319
00010100101001	453
00010100101010	268
00010100101011	414
00010100101100	415
00010100101101	438
00010100101110	270
00010100101111	301
00010100110000	191
00010100110001	291
00010100110010	118
00010100110011	276
00010100110100	200
00010100110101	454
00010100110110	140
00010100110111	295
00010100111000	243
00010100111001	373
00010100111010	199
00010100111011	211
00010100111100	306
00010100111101	420
00010100111110	194
00010100111111	274
00010101000000	137
00010101000001	260
00010101000010	195
00010101000011	264
00010101000100	184
00010101000101	359
00010101000110	153
00010101000111	257
00010101001000	160
00010101001001	231
00010101001010	157
00010101001011	237
00010101001100	179
00010101001101	363
00010101001110	114
00010101001111	234
00010101010000	93
00010101010001	273
00010101010010	103
00010101010011	199
00010101010100	93
00010101010101	212
00010101010110	93
00010101010111	211
00010101011000	101
00010101011001	258
00010101011010	119
00010101011011	263
00010101011100	155
00010101011101	233
00010101011110	156
00010101011111	280
00010101100000	206
00010101100001	429
00010101100010	132
00010101100011	254
00010101100100	246
00010101100101	413
00010101100110	187
00010101100111	342
00010101101000	264
00010101101001	361
00010101101010	201
00010101101011	219
00010101101100	216
00010101101101	377
00010101101110	166
00010101101111	266
00010101110000	93
00010101110001	282
00010101110010	86
00010101110011	223
00010101110100	161
00010101110101	287
00010101110110	85
00010101110111	262
00010101111000	145
00010101111001	363
00010101111010	138
00010101111011	279
00010101111100	205
00010101111101	349
00010101111110	137
00010101111111	260
00010110000000	351
00010110000001	549
00010110000010	244
00010110000011	372
00010110000100	407
00010110000101	402
00010110000110	318
00010110000111	387
00010110001000	427
00010110001001	514
00010110001010	370
00010110001011	383
00010110001100	477
00010110001101	535
00010110001110	259
00010110001111	379
00010110010000	180
00010110010001	434
00010110010010	126
00010110010011	300
00010110010100	192
00010110010101	392
00010110010110	139
00010110010111	312
00010110011000	284
00010110011001	451
00010110011010	206
00010110011011	480
00010110011100	328
00010110011101	422
00010110011110	192
00010110011111	313
00010110100000	440
00010110100001	778
00010110100010	297
00010110100011	445
00010110100100	520
00010110100101	745
00010110100110	303
00010110100111	372
00010110101000	538
00010110101001	723
00010110101010	403
00010110101011	489
00010110101100	473
00010110101101	496
00010110101110	316
00010110101111	409
00010110110000	207
00010110110001	464
00010110110010	200
00010110110011	354
00010110110100	250
00010110110101	519
00010110110110	189
00010110110111	314
00010110111000	396
00010110111001	673
00010110111010	233
00010110111011	444
00010110111100	327
00010110111101	410
00010110111110	233
00010110111111	400
00010111000000	242
00010111000001	338
00010111000010	215
00010111000011	394
00010111000100	254
00010111000101	346
00010111000110	249
00010111000111	362
00010111001000	295
00010111001001	454
00010111001010	205
00010111001011	373
00010111001100	252
00010111001101	466
00010111001110	179
00010111001111	277
00010111010000	114
00010111010001	222
00010111010010	99
00010111010011	305
00010111010100	114
00010111010101	258
00010111010110	134
00010111010111	254
00010111011000	189
00010111011001	353
00010111011010	174
00010111011011	389
00010111011100	228
00010111011101	236
00010111011110	127
00010111011111	296
00010111100000	277
00010111100001	534
00010111100010	246
00010111100011	320
00010111100100	293
00010111100101	550
00010111100110	192
00010111100111	373
00010111101000	404
00010111101001	461
00010111101010	277
00010111101011	350
00010111101100	354
00010111101101	423
00010111101110	267
00010111101111	279
00010111110000	165
00010111110001	409
00010111110010	113
00010111110011	299
00010111110100	166
00010111110101	368
00010111110110	113
00010111110111	320
00010111111000	191
00010111111001	558
00010111111010	187
00010111111011	351
00010111111100	248
00010111111101	375
00010111111110	234
00010111111111	257
00011000000000	194
00011000000001	361
00011000000010	186
00011000000011	259
00011000000100	248
00011000000101	343
00011000000110	223
00011000000111	254
00011000001000	287
00011000001001	329
00011000001010	255
00011000001011	242
00011000001100	277
00011000001101	371
00011000001110	191
00011000001111	233
00011000010000	126
00011000010001	217
00011000010010	57
00011000010011	259
00011000010100	116
00011000010101	327
00011000010110	106
00011000010111	222
00011000011000	201
00011000011001	361
00011000011010	179
00011000011011	210
00011000011100	143
00011000011101	198
00011000011110	169
00011000011111	198
00011000100000	326
00011000100001	393
00011000100010	228
00011000100011	231
00011000100100	317
00011000100101	399
00011000100110	214
00011000100111	261
00011000101000	412
00011000101001	366
00011000101010	263
00011000101011	256
00011000101100	342
00011000101101	463
00011000101110	230
00011000101111	296
00011000110000	175
00011000110001	365
00011000110010	118
00011000110011	262
00011000110100	165
00011000110101	275
00011000110110	100
00011000110111	216
00011000111000	213
00011000111001	379
00011000111010	213
00011000111011	290
00011000111100	205
00011000111101	349
00011000111110	166
00011000111111	235
00011001000000	158
00011001000001	277
00011001000010	131
00011001000011	216
00011001000100	184
00011001000101	273
00011001000110	197
00011001000111	227
00011001001000	176
00011001001001	277
00011001001010	120
00011001001011	202
00011001001100	139
00011001001101	281
00011001001110	177
00011001001111	236
00011001010000	66
00011001010001	217
00011001010010	82
00011001010011	144
00011001010100	73
00011001010101	239
00011001010110	60
00011001010111	186
00011001011000	128
00011001011001	231
00011001011010	74
00011001011011	265
00011001011100	108
00011001011101	221
00011001011110	99
00011001011111	173
00011001100000	195
00011001100001	296
00011001100010	143
00011001100011	246
00011001100100	200
00011001100101	403
00011001100110	160
00011001100111	293
00011001101000	271
00011001101001	342
00011001101010	106
00011001101011	291
00011001101100	229
00011001101101	346
00011001101110	159
00011001101111	154
00011001110000	105
00011001110001	231
00011001110010	95
00011001110011	218
00011001110100	105
00011001110101	295
00011001110110	112
00011001110111	227
00011001111000	148
00011001111001	271
00011001111010	106
00011001111011	223
00011001111100	107
00011001111101	188
00011001111110	127
00011001111111	228
00011010000000	160
00011010000001	388
00011010000010	177
00011010000011	276
00011010000100	226
00011010000101	263
00011010000110	167
00011010000111	280
00011010001000	283
00011010001001	379
00011010001010	280
00011010001011	234
00011010001100	181
00011010001101	278
00011010001110	194
00011010001111	237
00011010010000	125
00011010010001	243
00011010010010	93
00011010010011	226
00011010010100	134
00011010010101	218
00011010010110	99
00011010010111	235
00011010011000	139
00011010011001	346
00011010011010	137
00011010011011	278
00011010011100	132
00011010011101	335
00011010011110	121
00011010011111	242
00011010100000	333
00011010100001	448
00011010100010	214
00011010100011	358
00011010100100	264
00011010100101	496
00011010100110	191
00011010100111	210
00011010101000	314
00011010101001	423
00011010101010	215
00011010101011	352
00011010101100	384
00011010101101	333
00011010101110	188
00011010101111	278
00011010110000	167
00011010110001	346
00011010110010	116
00011010110011	186
00011010110100	115
00011010110101	401
00011010110110	112
00011010110111	185
00011010111000	221
00011010111001	370
00011010111010	174
00011010111011	233
00011010111100	216
00011010111101	336
00011010111110	128
00011010111111	248
00011011000000	138
00011011000001	240
00011011000010	123
00011011000011	258
00011011000100	136
00011011000101	214
00011011000110	148
00011011000111	265
00011011001000	176
00011011001001	287
00011011001010	189
00011011001011	236
00011011001100	190
00011011001101	211
00011011001110	158
00011011001111	230
00011011010000	71
00011011010001	192
00011011010010	68
00011011010011	201
00011011010100	108
